,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Drake,Scorpion,God's Plan,6DCZcSspjsKoFjzjrWoCdn,2018,True,84,0.754,0.449,G,-9.211,Major,0.109,8.29e-05,0.552,0.357,77.169,3.3162166666666666,4
1,XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,2018,True,86,0.74,0.613,G#/Ab,-4.88,Major,0.145,0.00372,0.123,0.473,75.023,2.7767666666666666,4
2,Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018,True,85,0.585,0.52,F,-6.136,Minor,0.0712,7.01e-05,0.131,0.129,159.801,3.6357833333333334,4
3,Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,2018,True,80,0.75,0.56,G#/Ab,-8.094,Major,0.105,0.0,0.111,0.459,140.06,3.6906666666666665,4
4,Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,2018,True,78,0.835,0.626,C#/Db,-5.833,Major,0.125,6e-05,0.396,0.35,91.03,3.6320833333333336,4
5,Post Malone,beerbongs & bentleys,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018,True,83,0.68,0.578,A#/Bb,-5.804,Major,0.04,0.0,0.135,0.341,145.038,3.85445,4
6,Cardi B,Invasion of Privacy,I Like It,58q2HKrzhC3ozto2nDdN4z,2018,True,81,0.816,0.726,F,-3.998,Minor,0.129,0.0,0.372,0.65,136.048,4.223166666666667,4
7,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,2018,False,83,0.791,0.862,A,-3.24,Minor,0.11,2.19e-05,0.0814,0.592,123.994,3.580783333333333,4
8,Dua Lipa,Dua Lipa (Deluxe),IDGAF,76cy1WJvNGJTj78UqeA5zr,2017,True,80,0.836,0.544,G,-5.975,Major,0.0943,0.0,0.0824,0.51,97.028,3.63245,4
9,Marshmello,FRIENDS,FRIENDS,08bNPGLD8AhKpnnERrAc6G,2018,True,81,0.626,0.88,A,-2.384,Minor,0.0504,0.0,0.128,0.534,95.079,3.3770166666666666,4
10,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,2018,False,82,0.765,0.523,D,-4.333,Major,0.03,3.56e-05,0.132,0.394,104.988,3.621783333333333,4
11,Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,2018,True,2,0.511,0.566,F#/Gb,-7.23,Minor,0.2,0.0,0.34,0.218,83.903,3.9972666666666665,4
12,Drake,Scorpion,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,2018,True,79,0.585,0.909,G#/Ab,-6.474,Major,0.0707,9.7e-05,0.119,0.758,93.372,3.51245,4
13,Maroon 5,Red Pill Blues (Deluxe),Girls Like You (feat. Cardi B) - Cardi B Version,7fa9MBXhVfQ8P8Df9OEbD8,2018,True,76,0.851,0.541,C,-6.825,Major,0.0505,0.0,0.13,0.448,124.959,3.92575,4
14,Zedd,The Middle,The Middle,09IStsImFySgyp0pIQdqAc,2018,False,83,0.753,0.657,G,-3.061,Major,0.0449,0.0,0.112,0.437,107.01,3.078866666666667,4
15,Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,2018,True,82,0.698,0.633,G#/Ab,-4.946,Major,0.0597,0.000194,0.0926,0.552,96.924,3.8697833333333334,4
16,Ariana Grande,Sweetener,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,2018,False,81,0.699,0.713,A,-5.507,Minor,0.0594,3.11e-06,0.294,0.354,121.993,3.432,4
17,Nicky Jam,X,X,39N9RPD9MRb5WmoLzNzPeA,2018,False,4,0.595,0.773,A,-4.736,Minor,0.0549,0.00108,0.334,0.711,180.073,2.8938,4
18,XXXTENTACION,?,Moonlight,0JP9xo3adEtGSdUEISiszL,2018,True,86,0.921,0.537,A,-5.723,Minor,0.0804,0.00404,0.102,0.711,128.009,2.2515,4
19,BlocBoy JB,Look Alive (feat. Drake),Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,2018,True,76,0.922,0.581,A#/Bb,-7.495,Major,0.27,5.86e-05,0.105,0.595,140.022,3.02105,4
20,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,2018,False,76,0.653,0.809,C,-4.057,Major,0.0474,0.0,0.165,0.55,92.213,3.5128833333333334,4
21,Nio Garcia,Te Boté (Remix),Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,2018,True,79,0.903,0.675,B,-3.445,Minor,0.214,1.28e-05,0.0595,0.442,96.507,6.965333333333334,4
22,Bazzi,COSMIC,Mine,7uzmGiiJyRfuViKKK3lVmR,2018,True,78,0.71,0.789,E,-3.874,Major,0.0722,2.77e-06,0.451,0.717,142.929,2.1844,4
23,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018,False,83,0.596,0.854,G,-5.114,Minor,0.463,0.0,0.124,0.152,120.274,3.3903,4
24,Dua Lipa,Dua Lipa (Complete Edition),New Rules,2xJCMIJfcNYDc5iR0sAm2O,2015,False,56,0.762,0.7,A,-6.021,Minor,0.0694,1.56e-05,0.153,0.608,116.073,3.4886666666666666,4
25,Ed Sheeran,÷ (Deluxe),Shape of You,7qiZfU4dY1lWllzX7mPBI3,2017,False,87,0.825,0.652,C#/Db,-3.183,Minor,0.0802,0.0,0.0931,0.931,95.977,3.8952166666666668,4
26,Khalid,Love Lies (with Normani),Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,2018,False,76,0.708,0.648,F#/Gb,-5.626,Major,0.0449,0.0,0.134,0.338,143.955,3.3617833333333333,4
27,Bebe Rexha,Expectations,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,2018,False,72,0.642,0.772,A#/Bb,-6.61,Major,0.0848,0.0,0.0646,0.589,153.995,2.73675,4
28,XXXTENTACION,17,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,2017,True,88,0.872,0.391,C,-9.144,Minor,0.242,4.13e-06,0.297,0.437,134.021,1.98555,4
29,Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,2017,False,88,0.599,0.448,G#/Ab,-6.312,Major,0.0232,0.0,0.106,0.168,95.05,4.39,3
